File,Line,Symbol,Type,Issue,Details
D:\Development\neuron\api\neuromorphic_api.py,42,NeuromorphicAPI.create_network,method,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\api\neuromorphic_api.py,112,NeuromorphicAPI.connect_layers,method,outdated_params,Missing documentation for: kwargs
D:\Development\neuron\api\neuromorphic_api.py,412,NeuromorphicAPI.get_network_info,method,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\api\neuromorphic_api.py,427,NeuromorphicAPI.visualize_network,method,outdated_params,Missing documentation for: results
D:\Development\neuron\api\neuromorphic_api.py,431,NeuromorphicAPI.save_network,method,outdated_params,Missing documentation for: filename
D:\Development\neuron\api\neuromorphic_api.py,436,NeuromorphicAPI.load_network,method,outdated_params,Missing documentation for: filename
D:\Development\neuron\api\neuromorphic_api.py,449,NeuromorphicVisualizer.plot_spike_raster,method,outdated_params,"Missing documentation for: title, spike_data, figsize"
D:\Development\neuron\api\neuromorphic_api.py,477,NeuromorphicVisualizer.plot_weight_evolution,method,outdated_params,"Missing documentation for: figsize, title, weight_history"
D:\Development\neuron\api\neuromorphic_api.py,496,NeuromorphicVisualizer.plot_network_activity,method,outdated_params,"Missing documentation for: title, results, figsize"
D:\Development\neuron\api\neuromorphic_api.py,545,NeuromorphicVisualizer.plot_neuromodulator_levels,method,outdated_params,"Missing documentation for: neuromodulator_data, title, figsize"
D:\Development\neuron\api\neuromorphic_api.py,574,NeuromorphicVisualizer.plot_learning_curves,method,outdated_params,"Missing documentation for: training_history, title, figsize"
D:\Development\neuron\api\neuromorphic_api.py,643,SensorimotorSystem.train,method,outdated_params,"Missing documentation for: epochs, training_data"
D:\Development\neuron\api\neuromorphic_api.py,643,SensorimotorSystem.train,method,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\api\neuromorphic_api.py,649,SensorimotorSystem.run_trial,method,outdated_params,"Missing documentation for: duration, sensory_inputs"
D:\Development\neuron\api\neuromorphic_api.py,649,SensorimotorSystem.run_trial,method,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\api\neuromorphic_api.py,655,SensorimotorSystem.get_network_info,method,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\api\neuromorphic_system.py,35,NeuromorphicSystem.add_sensory_encoder,method,outdated_params,"Missing documentation for: modality, encoder"
D:\Development\neuron\api\neuromorphic_system.py,39,NeuromorphicSystem.build_network,method,outdated_params,Missing documentation for: network_config
D:\Development\neuron\api\neuromorphic_system.py,78,NeuromorphicSystem.encode_input,method,outdated_params,"Missing documentation for: inputs, time_window"
D:\Development\neuron\api\neuromorphic_system.py,78,NeuromorphicSystem.encode_input,method,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\api\neuromorphic_system.py,84,NeuromorphicSystem.run_simulation,method,outdated_params,"Missing documentation for: inputs, duration, dt"
D:\Development\neuron\api\neuromorphic_system.py,84,NeuromorphicSystem.run_simulation,method,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\api\neuromorphic_system.py,99,NeuromorphicSystem.update_learning,method,outdated_params,"Missing documentation for: threat_signals, task_difficulty, reward, negative_events, dt, positive_events, expected_reward"
D:\Development\neuron\api\neuromorphic_system.py,129,NeuromorphicSystem.get_learning_rate,method,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\api\neuromorphic_system.py,135,NeuromorphicSystem.get_network_state,method,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\archive\prototypes\analyze_dependencies.py,6,analyze_imports,function,outdated_params,Missing documentation for: filepath
D:\Development\neuron\archive\prototypes\analyze_dependencies.py,6,analyze_imports,function,missing_return,Function returns a value but no Returns section in docstring
D:\Development\neuron\archive\prototypes\analyze_dependencies.py,27,main,function,missing,No docstring found
D:\Development\neuron\archive\prototypes\analyze_type_hints_docs.py,17,TypeHintAndDocAnalyzer.visit_FunctionDef,method,outdated_params,Missing documentation for: node
D:\Development\neuron\archive\prototypes\analyze_type_hints_docs.py,48,TypeHintAndDocAnalyzer.visit_ClassDef,method,outdated_params,Missing documentation for: node
D:\Development\neuron\archive\prototypes\analyze_type_hints_docs.py,65,analyze_file,function,outdated_params,Missing documentation for: filepath
